,quality_score,view_certificate_1,view_certificate_2,Cupping Protocol and Descriptors,View Green Analysis Details,Request a Sample,Species,Owner,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner.1,Variety,Status,Processing Method,NA,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,NA.1,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,NA.2,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA.3,Expiration,Certification Body,Certification Address,Certification Contact,Unnamed: 51,Notes,Export Date
158,84.5,,,,,,Arabica,Max Gurdian,Costa Rica,,S015.367,Beneficio Santo Domingo - Beneficio Dosmil,5-0015-0029,Beneficios Volcafé Costa Rica,1200,Valle Central,Various,275.0,18975,Specialty Coffee Association of Costa Rica,2017 / 2018,2017-11-28,Max Gurdian,Caturra,Completed,Washed / Wet,Sample,7.92,7.67,7.92,7.75,7.67,7.58,Sample,10.0,10.0,10.0,8.0,Sample  84.50,,0.1,0,0.0,Bluish-Green,2,,2018-11-28,Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,,,2018-01-20
159,84.5,,,,,,Arabica,ECOM Japan Limited,Uganda,Kawacom Sipi Project,035/170/5071146⁠⁠⁠⁠,Kawacom Uganda Limited,035/170/5071146⁠⁠⁠⁠,Kawacom uganda LTD,1750,Eastern Uganda,Kawacom Uganda Ltd,200.0,12000,Uganda Coffee Development Authority,2016,2017-03-14,ECOM Japan Limited,SL14,Completed,Washed / Wet,Sample,7.92,7.75,7.67,7.75,7.83,7.75,Sample,10.0,10.0,10.0,7.83,Sample  84.50,,0.11,0,0.0,Green,1,,2018-03-14,Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Clare Rwakatogoro - 256-41-256940/233073,,,2017-08-11
171,84.42,,,,,,Arabica,Max Gurdian,Costa Rica,Several Farmers,5-0015-0231,Beneficio San Diego,5-0015-0231,Beneficios Volcafé Costa Rica,1300,Tarrazu,Beneficio San Diego,275.0,69,Specialty Coffee Association of Costa Rica,2016,2017-03-23,Max Gurdian,Caturra,Completed,Washed / Wet,Sample,7.58,7.83,7.83,8.0,7.67,7.58,Sample,10.0,10.0,10.0,7.92,Sample  84.42,,0.1,0,0.0,Blue-Green,3,,2018-03-23,Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,,,2017-06-16
173,84.42,,,,,,Arabica,CARCAFE LTDA CI,Colombia,,3-59-0318,NEIVA,3-59-0318,CARCAFE LTDA,,Pitalito-Huila,FRANKLIN DUSSAN,304.0,35,Almacafé,2015/2016,2016-01-25,CARCAFE LTDA CI,Caturra,Completed,Natural / Dry,Sample,7.92,7.83,7.75,7.67,7.92,7.67,Sample,10.0,10.0,10.0,7.67,Sample  84.42,,0.0,0,0.0,Green,1,,2017-01-24,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2017-01-04
180,84.33,,,,,,Arabica,Bismarck Castro,Honduras,Las Cuchillas,152,CIGRAH S.A. DE C.V.,13-111-023,CIGRAH S.A DE C.V,1500,Comayagua,Nahun Maldonado,275.0,66,Instituto Hondureño del Café,2016,2017-05-11,Bismarck Castro,Caturra,Completed,,Sample,7.92,8.0,7.75,7.67,7.67,7.75,Sample,10.0,10.0,10.0,7.58,Sample  84.33,,0.1,0,0.0,Green,3,,2018-05-11,Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,,,2018-03-07
181,84.33,,,,,,Arabica,Raúl Vargas,Colombia,,1,San José / Neiva,03-05-0845,SKN CARIBECAFE LTDA,,Huila,,275.0,70,Almacafé,2016,2017-02-20,Raúl Vargas,Caturra,Completed,Washed / Wet,Sample,7.58,7.75,7.5,7.83,7.67,8.5,Sample,10.0,10.0,10.0,7.5,Sample  84.33,,0.0,0,3.0,Green,5,,2018-02-20,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2017-05-12
182,84.33,,,,,,Arabica,Bismarck Castro,Honduras,Los Hicaques,76,Dry Mill,13-111-032,CIGRAH S.A DE C.V,1500,Central Region,Reinerio Zepeda,275.0,69,Instituto Hondureño del Café,2016,2016-04-04,Bismarck Castro,Catuai,Completed,Washed / Wet,Sample,7.58,7.92,7.58,7.75,7.92,7.75,Sample,10.0,10.0,10.0,7.83,Sample  84.33,,0.11,0,1.0,Green,2,,2017-04-04,Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,,,2017-01-26
193,84.25,,,,,,Arabica,CARCAFE LTDA CI,Colombia,,3-59-3461,PASTO,3-59-3461,CARCAFE LTDA CI,2560,NARIÑO,JOSE ALBEIRO GOMEZ,275.0,70,Almacafé,2016,2016-08-05,CARCAFE LTDA CI,Caturra,Completed,Natural / Dry,Sample,7.83,7.58,7.75,7.58,7.67,8.0,Sample,10.0,10.0,10.0,7.83,Sample  84.25,,0.11,0,0.0,Green,2,,2017-08-05,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2017-05-12
210,84.17,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,PIAMONTE,11/23/0365,BENEFICIO IXCHEL,11/23/0365,"UNEX GUATEMALA, S.A.",1700,SAN MARCOS,JORGE LEAL,50.0,69,Asociacion Nacional Del Café,2017,2017-06-01,Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,7.75,7.83,7.58,7.83,7.67,7.75,Sample,10.0,10.0,10.0,7.75,Sample  84.17,,0.13,0,0.0,Green,1,,2018-06-01,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2017-07-15
214,84.17,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,SANTO TOMAS PACHUJ,11/752/01,BENEFICIO PALINSA,11/752/01,CAFCOM,1565,SOLOLA,FERNANDO FAHSEN,377.0,69,Asociacion Nacional Del Café,2016,2016-06-01,Juan Luis Alvarado Romero,Caturra,Completed,Washed / Wet,Sample,7.75,7.92,7.58,7.92,7.67,7.67,Sample,10.0,10.0,10.0,7.67,Sample  84.17,,0.1,0,1.0,Green,10,,2017-06-01,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2017-05-29
232,84.08,,,,,,Arabica,CARCAFE LTDA CI,Colombia,,3-59-0503,NEIVA,3-59-0503,CARCAFE LTDA CI,442,HUILA,FRANKLIN DUSSAN / HIPOLITO TORRES,275.0,70,Almacafé,2017 / 2018,2017-11-09,CARCAFE LTDA CI,Caturra,Completed,Washed / Wet,Sample,7.83,7.5,7.42,7.5,7.83,8.5,Sample,10.0,10.0,10.0,7.5,Sample  84.08,,0.0,1,3.0,Green,3,,2018-11-09,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2018-08-14
242,84,,,,,,Arabica,Bismarck Castro,Honduras,Las Cuchillas,96,CIGRAH S.A. DE C.V.,13-111-038,CIGRAH S.A DE C.V,1500,Comayagua,Nahun Maldonado,275.0,66,Instituto Hondureño del Café,2017,2017-05-11,Bismarck Castro,Caturra,Completed,Washed / Wet,Sample,7.42,7.83,7.75,7.92,7.75,7.58,Sample,10.0,10.0,10.0,7.75,Sample  84.00,,0.1,0,0.0,Green,5,,2018-05-11,Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,,,2017-08-26
258,83.92,,,,,,Arabica,Ipanema Coffees,Brazil,Fazenda Capoeirinha,019/17,Dry mill,002/1660/0079,Ipanema Coffees,890,South of Minas Gerais,Ipanema Agricola S.A,320.0,60,Brazil Specialty Coffee Association,2017 / 2018,2017-10-20,Ipanema Coffees,Bourbon,Completed,Natural / Dry,Sample,7.5,7.75,7.58,7.5,7.58,7.5,Sample,10.0,10.0,10.0,8.5,Sample  83.92,,0.0,0,0.0,Green,3,,2018-10-20,Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,,,2018-09-17
259,83.92,,,,,,Arabica,CAFES TOMARI SA DE CV,Mexico,CAFETAL,101,CAFES TOMARI SA DE CV,016-1273-101,CAFES TOMARI SA DE C.V.,1300,VERACRUZ,CAFES TOMARI SA DE CV,200.0,69,Centro Agroecológico del Café A.C.,2017,2017-07-03,CAFES TOMARI SA DE CV,Mundo Novo,Completed,Washed / Wet,Sample,7.83,7.83,7.58,7.92,7.42,7.5,Sample,10.0,10.0,10.0,7.83,Sample  83.92,,0.11,0,0.0,Green,5,,2018-07-03,Centro Agroecológico del Café A.C.,"Instituto de Ecología A. C., Campus III Edificio A Planta Baja Carretera Antigua a Coatepec No. 351 Col. El Haya C.P. 91070 Xalapa, Veracruz, México.",Stephany Escamilla Femat - Tel. +52 228 8421800 Ext. 3092,,,2017-12-27
263,83.92,,,,,,Arabica,CARCAFE LTDA CI,Colombia,,3-59-1772,Neiva,3-59-1772,CARCAFE LTDA CI,442,HUILA,FRANKLIN DUSSAN / HIPOLITO TORRES,250.0,70,Almacafé,2016,2016-02-11,CARCAFE LTDA CI,,Completed,,Sample,7.75,7.67,7.5,7.75,7.83,7.75,Sample,10.0,10.0,10.0,7.67,Sample  83.92,,0.11,1,0.0,Green,2,,2017-02-10,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2017-02-02
274,83.83,,,,,,Arabica,CARCAFE LTDA CI,Colombia,,3-59-2888,cartago,3-59-2888,CARCAFE LTDA CI,2527,Nariño,Jose Albeiro gomez,275.0,70,Almacafé,2017,2017-06-30,CARCAFE LTDA CI,Caturra,Completed,Washed / Wet,Sample,7.92,7.58,7.5,7.83,7.58,7.67,Sample,10.0,10.0,10.0,7.75,Sample  83.83,,0.0,1,0.0,Green,6,,2018-06-30,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2017-09-19
275,83.83,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,3-37-2112,Bachue,3-37-2112,Racafe & Cia S.C.A,,Huila,La Plata,275.0,70,Almacafé,2016,2017-03-14,Racafe & Cia S.C.A,Caturra,Completed,,Sample,7.83,7.67,7.5,7.75,7.75,7.75,Sample,10.0,10.0,10.0,7.58,Sample  83.83,,0.0,1,2.0,Green,0,,2018-03-14,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2017-06-16
276,83.83,,,,,,Arabica,"CECA, S.A.",Costa Rica,Gamboa,8039,Beneficio Montañas del Diamante,5-025-0249,"CECA,S.A.",1850,Tarrazu,Martin Gutierrez,275.0,69,Specialty Coffee Association of Costa Rica,2015,2016-06-06,"CECA, S.A.",Caturra,Completed,Washed / Wet,Sample,7.67,7.67,7.75,7.67,7.5,7.75,Sample,10.0,10.0,10.0,7.83,Sample  83.83,,0.0,0,0.0,Blue-Green,0,,2017-06-06,Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,,,2017-05-07
277,83.83,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,FINCA MEDINA,11/11711/60,BENEFICIO SIEMBRAS VISION (154),11/11711/60,"SIEMBRAS VISION, S.A.",1500,ANTIGUA,FINCA MEDINA,100.0,69,Asociacion Nacional Del Café,2016,2016-05-23,Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,7.75,7.75,7.5,7.75,7.83,7.58,Sample,10.0,10.0,10.0,7.67,Sample  83.83,,0.11,0,7.0,Green,6,,2017-05-23,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2017-01-16
295,83.75,,,,,,Arabica,Kennedy Macharia,Kenya,,sc 9693,SASINI MILLS,37-0985-4132,TAYLOR WINCH (COFFEE) LTD,1800,NYERI COUNTY,KAROGOTO,200.0,60,Kenya Coffee Traders Association,,2018-01-11,Kennedy Macharia,SL28,Completed,Washed / Wet,Sample,7.75,7.58,7.5,7.58,7.75,7.75,Sample,10.0,10.0,10.0,7.83,Sample  83.75,,0.11,0,0.0,Green,2,,2019-01-11,Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Ivy Sarah Nderitu - +254 786 821 621,,,2018-11-12
297,83.75,,,,,,Arabica,CARCAFE LTDA CI,Colombia,,3-59-0075,NEIVA,3-59-0075,CARCAFE LTDA CI,442,HUILA,FRANKLIN DUSSAN / HIPOLITO TORRES,275.0,70,Almacafé,2017,2017-09-28,CARCAFE LTDA CI,Caturra,Completed,Washed / Wet,Sample,7.83,7.83,7.58,7.58,7.58,7.58,Sample,10.0,10.0,10.0,7.75,Sample  83.75,,0.11,0,0.0,Green,1,,2018-09-28,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2018-05-03
299,83.75,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,3-37-1510,Bachue,3-37-1510,Racafe & Cia S.C.A,,Huila,La Plata,275.0,70,Almacafé,2016,2017-02-15,Racafe & Cia S.C.A,,Completed,Washed / Wet,Sample,7.92,7.75,7.5,7.67,7.75,7.5,Sample,10.0,10.0,10.0,7.67,Sample  83.75,,0.0,1,0.0,Green,4,,2018-02-15,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2017-11-07
314,83.67,,,,,,Arabica,Ipanema Coffees,Brazil,Fazenda Capoeirinha,020/17,Dry mill,002/1660/0080,Ipanema Coffees,890,South of Minas Gerais,Ipanema Agricola S.A,320.0,60,Brazil Specialty Coffee Association,2017 / 2018,2017-10-20,Ipanema Coffees,Bourbon,Completed,Natural / Dry,Sample,7.67,7.83,7.5,7.67,7.67,7.5,Sample,10.0,10.0,10.0,7.83,Sample  83.67,,0.11,0,0.0,Green,2,,2018-10-20,Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,,,2018-04-14
315,83.67,,,,,,Arabica,Kennedy Macharia,Kenya,,SC 9634,SASINI / KOFINAF MILLS,37-0985-4045,TAYLOR WINCH (COFFEE) LTD,1700,MERU COUNTY,NCHOROIBORO / KIRIANI FACTORY,200.0,60,Kenya Coffee Traders Association,2017,2017-09-01,Kennedy Macharia,SL28,Completed,Washed / Wet,Sample,8.08,7.67,7.67,7.58,7.25,7.67,Sample,10.0,10.0,10.0,7.75,Sample  83.67,,0.11,0,0.0,Bluish-Green,0,,2018-09-01,Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Ivy Sarah Nderitu - +254 786 821 621,,,2018-05-29
316,83.67,,,,,,Arabica,Bismarck Castro,Honduras,Los Hicaques,103,CIGRAH S.A. DE C.V.,13 / 111 / 053,CIGRAH S.A DE C.V,1400,Comayagua,Reinerio Zepeda,285.0,69,Instituto Hondureño del Café,2016,2017-05-11,Bismarck Castro,Caturra,Completed,Washed / Wet,Sample,7.5,7.5,7.67,7.67,8.0,8.0,Sample,10.0,10.0,10.0,7.33,Sample  83.67,,0.1,0,0.0,Green,2,,2018-05-11,Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,,,2018-01-24
317,83.67,,,,,,Arabica,"COMERCIAL INTERNACIONAL EXPORTADORA, S.A.",Nicaragua,SANTA MATILDE,606118 / K1730101,DRY MILL,017/001/1412,"COMERCIAL INTERNACIONAL EXPORTADORA, S.A.",1250,"JINOTEGA, NICARAGUA",RONALDO LACAYO CARDENAL,275.0,69,Instituto Hondureño del Café,2016,2017-05-11,"COMERCIAL INTERNACIONAL EXPORTADORA, S.A.",Caturra,Completed,Washed / Wet,Sample,7.67,7.75,7.67,7.67,7.83,7.58,Sample,10.0,10.0,10.0,7.5,Sample  83.67,,0.1,0,0.0,Green,3,,2018-05-11,Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,,,2017-11-26
318,83.67,,,,,,Arabica,Ipanema Coffees,Brazil,Capoeirinha Farm,008/16A,Dry mill,002/1660/0106,Ipanema Coffees,934,South of Minas Gerais,Ipanema Agricola,320.0,60,Brazil Specialty Coffee Association,2016,2016-08-16,Ipanema Coffees,Bourbon,Completed,Natural / Dry,Sample,7.58,7.75,7.58,7.75,7.58,7.58,Sample,10.0,10.0,10.0,7.83,Sample  83.67,,0.11,0,2.0,Green,3,,2017-08-16,Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,,,2017-01-27
320,83.67,,,,,,Arabica,"CECA, S.A.",Costa Rica,,8062-1,CAFEX,5-025-0109,"CECA,S.A.",1350,WEST VALLEY,,275.0,69,Specialty Coffee Association of Costa Rica,,2016-03-14,"CECA, S.A.",,Completed,,Sample,7.33,7.67,7.67,7.5,7.67,7.5,Sample,10.0,10.0,10.0,8.33,Sample  83.67,,0.11,0,0.0,Blue-Green,1,,2017-03-14,Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,,,2017-01-23
351,83.5,,,,,,Arabica,CARCAFE LTDA CI,Colombia,,3-59-1695,Bogota,3-59-1695,CARCAFE LTDA CI,1799,cundinamarca,Orlando Moreno / Willson Sanchez,50.0,70,Almacafé,2016,2017-02-20,CARCAFE LTDA CI,Caturra,Completed,Washed / Wet,Sample,7.75,7.58,7.58,7.75,7.75,7.5,Sample,10.0,10.0,10.0,7.58,Sample  83.50,,0.0,0,0.0,Bluish-Green,5,,2018-02-20,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2017-05-20
353,83.5,,,,,,Arabica,"CECA, S.A.",Costa Rica,,8038,Beneficio Montañas del Diamante,5-025-0250,"CECA,S.A.",1850,Tarrazu,Martin Gutierrez,245.0,69,Specialty Coffee Association of Costa Rica,2015,2016-06-06,"CECA, S.A.",Caturra,Completed,Washed / Wet,Sample,7.92,7.42,7.5,7.67,7.5,7.67,Sample,10.0,10.0,10.0,7.83,Sample  83.50,,0.0,0,0.0,Blue-Green,0,,2017-06-06,Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,,,2017-03-03
354,83.5,,,,,,Arabica,CARCAFE LTDA CI,Colombia,,3-59-1919,Neiva,3-59-1919,CARCAFE LTDA,1000,PITALITO - HUILA,Mecias Urbano / Yaniver Alvarez,250.0,70,Almacafé,2016,2016-04-07,CARCAFE LTDA CI,Caturra,Completed,Natural / Dry,Sample,7.75,7.58,7.58,7.5,7.75,7.75,Sample,10.0,10.0,10.0,7.58,Sample  83.50,,0.0,0,0.0,Green,0,,2017-04-07,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2017-01-25
