,quality_score,view_certificate_1,view_certificate_2,Cupping Protocol and Descriptors,View Green Analysis Details,Request a Sample,Species,Owner,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner.1,Variety,Status,Processing Method,NA,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,NA.1,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,NA.2,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA.3,Expiration,Certification Body,Certification Address,Certification Contact,Unnamed: 51,Notes,Export Date
30,86.58,,,,,,Arabica,Nora Zeas,Nicaragua,,,Beneficio Atlantic Condega,790-0013,,,,,275.0,6,Specialty Coffee Association,,2010-05-18,Nora Zeas,,Completed,,Sample,7.92,8.25,8.0,8.33,8.0,8.08,Sample,10.0,10.0,10.0,8.0,Sample  86.58,,0.08,0,0.0,,2,,2011-05-18,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2011-04-15
31,86.5,,,,,,Arabica,Specialty Coffee-Korea,"Tanzania, United Republic Of",,,,A019116,,,,,100.0,60,Specialty Coffee Institute of Asia,2012,2013-09-03,Specialty Coffee-Korea,,Completed,Natural / Dry,Sample,8.42,8.17,8.17,8.0,7.58,8.0,Sample,10.0,10.0,10.0,8.17,Sample  86.50,,0.11,0,0.0,Bluish-Green,1,,2014-09-03,Specialty Coffee Institute of Asia,"3F, 259-1 Ulgiro-3-ga, Joong-gu, Seoul, South Korea, Zip code:100-847","Sung-Yong Steven Kil - 82-10-7912-1456-English, 82-2269-1456-Korean",,,2014-01-23
32,86.42,,,,,,Arabica,NUCOFFEE,Brazil,Fazenda Recreio,,,002/1251/0068,NUCOFFEE,1300,Vale da Grama,Homero Texeira de Macedo Junior,29.0,60,NUCOFFEE,2011,2011-12-03,NUCOFFEE,Bourbon,Completed,Natural / Dry,Sample,8.5,8.17,8.0,7.75,8.0,8.0,Sample,10.0,10.0,10.0,8.0,Sample  86.42,,0.12,0,0.0,Green,2,,2012-12-02,NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,,,2011-12-04
33,86.33,,,,,,Arabica,Francisco A Mena,Costa Rica,Exclusive Coffees S.A.,,"Exclusive Coffees S.A,",5818009,Exclusive Coffees S.A.,1300,West and Central Valley,Exclusive Coffees S.A.,250.0,0.907,Specialty Coffee Association of Costa Rica,2015/2016,2015-12-03,Francisco A Mena,Caturra,Completed,Washed / Wet,Sample,8.17,7.83,8.0,8.08,7.83,8.0,Sample,10.0,10.0,10.0,8.42,Sample  86.33,,0.0,0,0.0,Blue-Green,0,,2016-12-02,Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,,,2016-06-16
36,86.25,,,,,,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),,,,220452,Kona Pacific Farmers Cooperative,,KONA,,10.0,45.359,Specialty Coffee Association,2012,2012-04-06,Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Natural / Dry,Sample,8.08,8.17,8.0,7.92,7.92,7.83,Sample,10.0,10.0,10.0,8.33,Sample  86.25,,0.0,1,0.0,,4,,2013-04-06,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2012-08-09
37,86.25,,,,,,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),Kona Pacific Farmers Co-Op,,,HDOA 210128 Kona Fancy,,,Kona,Kona Pacific Farmers Co-Op,25.0,45.359,Specialty Coffee Association,2010,2011-01-28,Kona Pacific Farmers Cooperative,,Completed,,Sample,8.25,8.42,8.08,7.75,7.67,7.83,Sample,10.0,10.0,10.0,8.25,Sample  86.25,,0.0,2,0.0,,1,,2012-01-28,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2011-09-26
38,86.25,,,,,,Arabica,Ethiopia Commodity Exchange,Ethiopia,"Phone number | 0911-51-08-01, Email | at",,,010/0170,,,Yirgacheffe,Contact name | ATO Teshome Belamo,300.0,6,Ethiopia Commodity Exchange,2009/2010,2010-06-17,Ethiopia Commodity Exchange,,Completed,,Sample,7.92,7.75,8.08,8.08,8.08,8.17,Sample,10.0,10.0,10.0,8.17,Sample  86.25,,0.1,0,0.0,,2,,2011-06-17,Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,,,2010-11-06
40,86.17,,,,,,Arabica,ITDP International,Thailand,Co-op #12,,,01-011-512,Lanna Cafe,1300,Chiang Rai,ITDP,53.0,1,Specialty Coffee Association,2012,2012-04-12,ITDP International,Caturra,Completed,Washed / Wet,Sample,7.83,8.33,7.83,8.25,7.58,7.92,Sample,10.0,10.0,10.0,8.42,Sample  86.17,,0.1,1,0.0,Green,9,,2013-04-12,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2012-12-30
41,86.17,,,,,,Arabica,Jacques Pereira Carneiro,Brazil,Pereira Estate Coffee,,Cocarive,002/1352/0045,,1.2,Sul de Minas - Carmo de Minas,Maria Rogeria Costa Pereira,300.0,60,Specialty Coffee Association,2010,2011-01-04,Jacques Pereira Carneiro,Yellow Bourbon,Completed,,Sample,8.17,7.92,7.92,7.75,8.33,8.0,Sample,10.0,10.0,10.0,8.08,Sample  86.17,,0.08,0,0.0,,2,,2012-01-04,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2011-12-30
45,86.08,,,,,,Arabica,NUCOFFEE,Brazil,Fazenda Kaquend,,,002/1251/0071,NUCOFFEE,1250m,South of Minas Gerais,Ralph Junqueira,7.0,60,NUCOFFEE,2011,2011-12-03,NUCOFFEE,Bourbon,Completed,Semi-washed / Semi-pulped,Sample,8.33,8.0,8.0,8.0,7.75,8.0,Sample,10.0,10.0,10.0,8.0,Sample  86.08,,0.11,0,0.0,Blue-Green,2,,2012-12-02,NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,,,2012-08-08
50,86,,,,,,Arabica,Ethiopia Commodity Exchange,Ethiopia,Contact | sidacoop@ethionet.net,,Coffee Processing and Warehouse Enterpri,010/0145,,1500-2000 m,Sidamo,Sidama Coffee Farmers Coop. Union,300.0,6,Ethiopia Commodity Exchange,2009/2010,2010-06-17,Ethiopia Commodity Exchange,,Completed,,Sample,7.75,8.08,8.0,8.25,8.0,8.0,Sample,10.0,10.0,10.0,7.92,Sample  86.00,,0.01,0,0.0,,4,,2011-06-17,Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,,,2011-04-27
52,85.92,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,LA ESPERANZA Y ANEXOS,11/23/0252,BENEFICIO IXCHEL,11/23/0252,"UNEX GUATEMALA, S.A.",,NUEVO ORIENTE,MARGARITA AVILA DE NUYENS,80.0,69,Asociacion Nacional Del Café,2016,2016-05-16,Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,7.92,8.08,7.92,8.08,8.08,7.83,Sample,10.0,10.0,10.0,8.0,Sample  85.92,,0.1,0,1.0,Green,3,,2017-05-16,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2016-10-28
54,85.92,,,,,,Arabica,Exportadora de Cafe Condor S.A,Colombia,,,trilladora Bonanza,3-68-0215,Exportadora de Cafe Condor S.A,1800 msnm,Huila,,275.0,70,Almacafé,2013,2013-07-26,Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,Sample,8.0,8.0,8.0,8.17,7.83,8.0,Sample,10.0,10.0,10.0,7.92,Sample  85.92,,0.0,1,0.0,Blue-Green,0,,2014-07-26,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2014-03-06
57,85.83,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,VALPARAISO,,BENEFICIO VALPARAISO,11/1886/03,SERTRASA,5000,"ACATENANGO, CHIMALTENANGO",SERTRASA,150.0,1,Asociacion Nacional Del Café,2012,2012-07-03,Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,7.83,8.0,8.0,8.17,7.83,8.0,Sample,10.0,10.0,10.0,8.0,Sample  85.83,,0.12,0,0.0,Green,3,,2013-07-03,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2012-10-16
58,85.83,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,FINCA EL LIMON,,BENEFICIO SERBEN KM 21.5 CARRETERA A VILLA CANALES,11-853-155,"UNICAFE, S.A",4650,NUEVO ORIENTE ALDEA EL LIMON,WILLIAM ESTUARDO MARTINEZ PACHECO,275.0,1,Asociacion Nacional Del Café,2012,2012-06-05,Juan Luis Alvarado Romero,Catuai,Completed,Washed / Wet,Sample,8.0,8.0,7.83,8.33,7.83,7.83,Sample,10.0,10.0,10.0,8.0,Sample  85.83,,0.1,0,0.0,Bluish-Green,1,,2013-06-05,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2012-08-21
59,85.75,,,,,,Arabica,SEID DAMTEW COFFEE PLANATAION,Ethiopia,seid damtew coffee export and plantation,320,seid damtew coffee export and plantation,490,Seid Damtew Coffee Planation,,addis ababa,seid damtew coffee export and plantation,320.0,19200,METAD Agricultural Development plc,2017,2017-06-23,SEID DAMTEW COFFEE PLANATAION,Caturra,Completed,Natural / Dry,Sample,7.83,8.0,7.83,8.17,7.92,8.0,Sample,10.0,10.0,10.0,8.0,Sample  85.75,,0.09,0,4.0,None,7,,2018-06-23,METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",,,2017-08-30
60,85.75,,,,,,Arabica,Dane Loraas,Peru,,,,030-0537-2066,Sustainable Harvest,,Cajamarca,,280.0,2.268,Specialty Coffee Association,2013,2014-01-22,Dane Loraas,,Completed,Washed / Wet,Sample,8.0,8.0,8.0,8.08,7.92,7.75,Sample,10.0,10.0,10.0,8.0,Sample  85.75,,0.1,4,0.0,Green,6,,2015-01-22,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2014-10-19
61,85.75,,,,,,Arabica,"Colbran Coffeelands, Ltd.",Papua New Guinea,Tairora Cherry – Bonta,,Baroida,25072012,CQI,"1,700 mts",Eastern Highlands Province,"Colbran CoffeeLands, Ltd.",7.0,60,Specialty Coffee Association,2012,2012-10-25,"Colbran Coffeelands, Ltd.",,Completed,Washed / Wet,Sample,8.33,8.42,7.83,8.33,8.0,8.25,Sample,9.33,9.33,10.0,7.92,Sample  85.75,,0.12,0,0.0,Bluish-Green,1,,2013-10-25,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2012-10-27
62,85.58,,,,,,Arabica,Atlantic Specialty Coffee,El Salvador,El Majahual,,J. Hill y Cia,09 – 060-24,Atlantic Specialty Coffee,1500 meters,Apaneca Llamantepec,Aida Batlle,275.0,2,Specialty Coffee Association,2013,2013-03-18,Atlantic Specialty Coffee,Bourbon,Completed,Washed / Wet,Sample,7.92,8.17,8.0,7.92,7.75,7.83,Sample,10.0,10.0,10.0,8.0,Sample  85.58,,0.1,0,0.0,Blue-Green,3,,2014-03-18,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2013-06-23
64,85.58,,,,,,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),,,,220451,Kona Pacific Farmers Cooperative,,KONA,,8.0,45.359,Specialty Coffee Association,2012,2012-04-06,Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Natural / Dry,Sample,7.83,8.0,7.92,7.75,8.08,8.0,Sample,10.0,10.0,10.0,8.0,Sample  85.58,,0.0,0,0.0,,1,,2013-04-06,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2012-08-04
65,85.5,,,,,,Arabica,EssenceCoffee,Panama,Elida Estate,,Elida Estate,290503,Essence Coffee,1680,Boquete,Lamastus,100.0,60,Blossom Valley International,2014,2015-05-23,EssenceCoffee,Caturra,Completed,Natural / Dry,Sample,8.0,7.75,7.83,7.83,7.67,8.58,Sample,10.0,10.0,10.0,7.83,Sample  85.50,,0.09,2,0.0,,2,,2016-05-22,Blossom Valley International,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen - +886-4-23022323,,,2015-07-10
66,85.5,,,,,,Arabica,EssenceCoffee,Kenya,Inoi,,Inoi,3707361715,Essence Coffee,1900M,Kirinyaga,,16.0,60,Blossom Valley International,2014,2015-05-23,EssenceCoffee,SL28,Completed,Natural / Dry,Sample,7.92,7.92,7.83,8.08,7.83,7.92,Sample,10.0,10.0,10.0,8.0,Sample  85.50,,0.1,0,0.0,Green,3,,2016-05-22,Blossom Valley International,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen - +886-4-23022323,,,2016-04-13
67,85.5,,,,,,Arabica,Assefa Belay Coffee Producer,Ethiopia,,,,2015,Assefa Belay Coffee Producer,1800-2000,Oromia,Assefa Belay Coffee Producer,320.0,60,METAD Agricultural Development plc,2015,2015-03-31,Assefa Belay Coffee Producer,Other,Completed,Natural / Dry,Sample,7.83,8.0,7.83,7.92,7.83,8.08,Sample,10.0,10.0,10.0,8.0,Sample  85.50,,0.12,0,0.0,Green,7,,2016-03-30,METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",,,2015-09-27
69,85.5,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,ASOPERC,,BENEFICIO EXPORTCAFE AGUA SANTA,11-52-492,"EXPORTCAFE, S.A",5600-5760 METROS,HUEHUETENANGO,ASOCIACION DE PERMACULTORES DE CUILCO (SANTOS LOPEZ MEJIA),250.0,69,Asociacion Nacional Del Café,2013,2013-02-26,Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,8.0,7.83,7.67,8.33,7.83,8.0,Sample,10.0,10.0,10.0,7.83,Sample  85.50,,0.11,0,0.0,Green,1,,2014-02-26,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2013-08-31
72,85.42,,,,,,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),,,,220453,Kona Pacific Farmers Cooperative,,KONA,,8.0,45.359,Specialty Coffee Association,2012,2012-04-06,Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Natural / Dry,Sample,7.92,7.92,7.75,7.92,7.75,7.92,Sample,10.0,10.0,10.0,8.25,Sample  85.42,,0.0,4,0.0,,6,,2013-04-06,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2012-04-14
73,85.42,,,,,,Arabica,NUCOFFEE,Brazil,Fazenda Serra de Três Barras,,,002/1251/0072,NUCOFFEE,1250m,South of Minas Gerais,José Vagner Ribeiro Junqueira,5.0,60,NUCOFFEE,2011,2011-12-03,NUCOFFEE,Bourbon,Completed,Semi-washed / Semi-pulped,Sample,8.0,8.0,8.0,7.67,7.75,8.0,Sample,10.0,10.0,10.0,8.0,Sample  85.42,,0.11,0,0.0,Blue-Green,1,,2012-12-02,NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,,,2012-01-01
74,85.42,,,,,,Arabica,Grounds for Health Admin,El Salvador,Sierra Nevada,,Beneficio Las Tres Puertas,9-060-60D-L-1D,,1400 M,Apaneca Ilamatepec Mountain Range,J. Hill y Cia SA de CV,2.0,1,Specialty Coffee Association,2009 / 2010,2010-05-31,Grounds for Health Admin,,Completed,,Sample,8.08,7.83,7.83,8.08,7.83,7.83,Sample,10.0,10.0,10.0,7.92,Sample  85.42,,0.01,0,0.0,,0,,2011-05-31,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2010-08-25
76,85.33,,,,,,Arabica,EssenceCoffee,Guatemala,El Injerto S.A.,,El Injerto S.A.,11999144,Essence Coffee,1770,Huehuetenango,Arturo Aguirre,36.0,30,Blossom Valley International,2014,2015-05-23,EssenceCoffee,Pacamara,Completed,Natural / Dry,Sample,7.83,7.75,7.83,7.67,7.83,8.58,Sample,10.0,10.0,10.0,7.83,Sample  85.33,,0.11,0,0.0,Green,1,,2016-05-22,Blossom Valley International,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen - +886-4-23022323,,,2015-12-03
77,85.33,,,,,,Arabica,The Coffee Source Inc.,Costa Rica,Several,,Cafe Altura de San Ramon,5-562-0006,The Coffee Source Inc.,1300,West Valley,Cafe Altura de San Ramon,250.0,1.361,Specialty Coffee Association,2014,2014-05-01,The Coffee Source Inc.,Caturra,Completed,Washed / Wet,Sample,7.92,8.08,8.0,7.92,8.0,8.08,Sample,10.0,10.0,9.33,8.0,Sample  85.33,,0.0,0,0.0,Bluish-Green,0,,2015-05-01,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2014-11-02
78,85.33,,,,,,Arabica,The Coffee Source Inc.,Costa Rica,SEVERAL,,CAFE DE ALTURA SAN RAMON,5-562-0016,The Coffee Source Inc.,1300 msnm,SAN RAMON,SEVERAL,250.0,1.361,Specialty Coffee Association,2014,2014-05-01,The Coffee Source Inc.,Caturra,Completed,Washed / Wet,Sample,8.0,7.58,7.58,7.67,8.08,8.5,Sample,10.0,10.0,10.0,7.92,Sample  85.33,,0.1,0,0.0,Bluish-Green,2,,2015-05-01,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2015-03-29
79,85.33,,,,,,Arabica,RASHID MOLEDINA & CO. (MSA) LTD.,Kenya,,,,37/672/0017,RASHID MOLEDINA & CO. (MSA) LTD,above 1600 M,Central Kenya - Nyeri,Kianjogu - Rutuma F.C.S. Ltd.,20.0,60,Kenya Coffee Traders Association,2012,2013-04-19,RASHID MOLEDINA & CO. (MSA) LTD.,SL34,Completed,Washed / Wet,Sample,7.83,8.08,7.75,8.08,7.92,7.75,Sample,10.0,10.0,10.0,7.92,Sample  85.33,,0.0,0,0.0,Green,2,,2014-04-19,Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Ivy Sarah Nderitu - +254 786 821 621,,,2013-12-20
80,85.33,,,,,,Arabica,Ibero Kenya Limited,Kenya,,,NKG/CK/HC/SS/KCCM,37/00597/0252 - AB FAQ Q certified,Ibero Kenya Limited,Above 1200 M,Blend - Central & western Kenya,Blend from various Producers,300.0,60,Kenya Coffee Traders Association,2012,2013-03-12,Ibero Kenya Limited,SL34,Completed,Washed / Wet,Sample,8.0,7.92,7.92,8.08,7.83,7.75,Sample,10.0,10.0,10.0,7.83,Sample  85.33,,0.0,0,0.0,Green,6,,2014-03-12,Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Ivy Sarah Nderitu - +254 786 821 621,,,2013-04-03
81,85.33,,,,,,Arabica,Ethiopia Commodity Exchange,Ethiopia,Phone Number | 0911-513824 email: gmt.ft,,,010/0157,,,Yirgacheffe,"Contact name | Egziabhez Mezgebe, GMT Industrial Plc",360.0,6,Ethiopia Commodity Exchange,2009/2010,2010-06-17,Ethiopia Commodity Exchange,,Completed,,Sample,7.83,7.83,7.92,8.08,7.75,7.83,Sample,10.0,10.0,10.0,8.08,Sample  85.33,,0.05,0,0.0,,2,,2011-06-17,Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,,,2011-01-22
82,85.33,,,,,,Arabica,Ethiopia Commodity Exchange,Ethiopia,,,,010/0001/0022,,,Yirgacheffe,Contact name | Hailu Gebre Hiwot,300.0,6,Ethiopia Commodity Exchange,2009/2010,2010-06-17,Ethiopia Commodity Exchange,Typica,Completed,,Sample,7.92,7.83,7.75,8.33,7.75,7.75,Sample,10.0,10.0,10.0,8.0,Sample  85.33,,0.1,0,0.0,,3,,2011-06-17,Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,,,2010-08-01
